Country,Agree,Agree_2,Agree_3
Afghanistan,0.97551305,0.959721663,0.942370201
Albania,0.966052685,0.73891773,0.638383973
Algeria,0.838119323,0.644648109,0.63020477
Argentina,0.977031721,0.89458929,0.876793896
Armenia,0.730720456,0.551417721,0.420164218
Australia,0.919682537,0.902470905,0.833296256
Austria,0.745977906,0.684463972,0.548592406
Azerbaijan,0.773603189,0.694800155,0.633933083
Bangladesh,0.988179474,0.97812964,0.97908232
Belarus,0.614340951,0.458511134,0.36319825
Belgium,0.887593696,0.826106672,0.627102879
Benin,0.97636836,0.885608668,0.818026982
Bolivia,0.961094246,0.790992251,0.741960618
Bosnia and Herzegovina,0.848638201,0.764682,0.702835292
Botswana,0.941695158,0.8524354,0.794178594
Brazil,0.974152134,0.806617017,0.799810372
Bulgaria,0.714401474,0.568615477,0.395465986
Burkina Faso,0.942095641,0.839006742,0.680221345
Burundi,0.983963806,0.910801034,0.875156752
Cambodia,0.989268855,0.942941848,0.876030281
Cameroon,0.973996824,0.824729051,0.771049571
Canada,0.874982514,0.822503957,0.764379201
Chad,0.93125908,0.849935657,0.811377592
Chile,0.88917229,0.777303568,0.741901988
China,0.90280461,0.788443086,0.722932272
Colombia,0.988776229,0.818903123,0.819412313
Comoros,0.981230871,0.931185803,0.892524814
"Congo, Rep.",0.961770866,0.914898926,0.751463029
Costa Rica,0.979149603,0.867553508,0.863693224
Croatia,0.776720866,0.654300993,0.567745791
Cyprus,0.852399881,0.707677424,0.621991965
Czech Republic,0.813859453,0.763996379,0.640428354
Denmark,0.923740093,0.852631426,0.697737173
Dominican Republic,0.994468944,0.915745799,0.89440887
Ecuador,0.981566526,0.861851464,0.858705437
Egypt,0.994140851,0.960487724,0.971536923
El Salvador,0.964179248,0.82106565,0.779617239
Estonia,0.774998382,0.618998173,0.502134715
Ethiopia,0.99670814,0.970654408,0.9612754
Finland,0.938841521,0.834006636,0.728405134
France,0.761542592,0.679628897,0.470362601
Gabon,0.952992659,0.791449447,0.626478577
Georgia,0.899152843,0.775925955,0.694996619
Germany,0.887659876,0.830084399,0.671574001
Ghana,0.953972378,0.881140543,0.871844931
Greece,0.941457865,0.84705239,0.785162639
Guatemala,0.979141632,0.867096065,0.872635649
Guinea,0.912895617,0.867231742,0.78282654
Haiti,0.979966925,0.842611602,0.716293072
Honduras,0.988918727,0.89098229,0.891767128
Hungary,0.904386409,0.782843689,0.766985495
Iceland,0.984721078,0.968330982,0.606767277
India,0.975600244,0.947656316,0.954413078
Indonesia,0.928227463,0.701247793,0.835051067
Iran,0.938908114,0.855888642,0.685159565
Iraq,0.961797619,0.905427991,0.899651147
Ireland,0.907689516,0.859095159,0.734504724
Israel,0.898040784,0.835829111,0.755824477
Italy,0.838205117,0.848565892,0.756916672
Ivory Coast,0.967476354,0.878020289,0.769522884
Japan,0.664583469,0.617224298,0.339930262
Jordan,0.98252939,0.918345566,0.919892065
Kazakhstan,0.758533651,0.552562511,0.457175625
Kenya,0.97519614,0.866531296,0.892335175
Kosovo,0.962639785,0.789337526,0.712698989
Kuwait,0.941105238,0.872281991,0.868545277
Kyrgyzstan,0.886996586,0.709596562,0.678313085
Laos,0.984309422,0.909026828,0.923849275
Latvia,0.732254453,0.504708958,0.454574851
Lebanon,0.969001588,0.861444931,0.836931834
Liberia,0.974612672,0.681365651,0.960127265
Libya,0.868151131,0.744159235,0.739256938
Lithuania,0.689735311,0.604440847,0.52375985
Luxembourg,0.887488969,0.812224295,0.708259929
Macedonia,0.806383369,0.607361193,0.5361418
Madagascar,0.972227052,0.911390104,0.853761258
Malawi,0.976243715,0.939897794,0.917336406
Malaysia,0.93396949,0.891382604,0.908902336
Mali,0.943148884,0.867336162,0.655002111
Malta,0.943386896,0.843355301,0.794943977
Mauritania,0.905442879,0.812291338,0.742199173
Mauritius,0.957087258,0.842165637,0.629366516
Mexico,0.981551879,0.907335271,0.889718101
Moldova,0.655966768,0.489458518,0.443383828
Mongolia,0.931787654,0.889962533,0.744374746
Montenegro,0.680447875,0.52230042,0.44352118
Morocco,0.947875183,0.759450177,0.798694739
Mozambique,0.971765525,0.768353969,0.911851094
Myanmar,0.979692136,0.925682242,0.914971083
Namibia,0.94242399,0.786203996,0.835422949
Nepal,0.982432638,0.858453911,0.921168593
Netherlands,0.901811588,0.764925464,0.676392755
New Zealand,0.870770616,0.820496529,0.721068378
Nicaragua,0.994476652,0.902422953,0.928753492
Niger,0.939277193,0.919001609,0.867643726
Nigeria,0.962177633,0.809201802,0.911484916
Northern Cyprus,1,0.922643362,0.87547961
Norway,0.964641539,0.93223168,0.832064386
Pakistan,0.929575506,0.871201023,0.874670862
Palestine,0.99818093,0.903382615,0.908234112
Panama,0.961401055,0.837454871,0.870117918
Paraguay,0.965591024,0.790365475,0.777185364
Peru,0.946592135,0.699195651,0.702027696
Philippines,0.934347114,0.862339327,0.787359886
Poland,0.892909566,0.845669208,0.775900069
Portugal,0.96446363,0.691295186,0.807663738
Romania,0.894205272,0.742853365,0.652108146
Russia,0.772761104,0.614850259,0.446331683
Rwanda,0.984939406,0.986609432,0.935398141
Saudi Arabia,0.945134456,0.834913237,0.845107162
Senegal,0.949404974,0.810115097,0.733648279
Serbia,0.84240479,0.733639739,0.659561637
Sierra Leone,0.983961551,0.930301058,0.927596083
Singapore,0.857414397,0.769439575,0.761920114
Slovakia,0.84688606,0.803021964,0.732474064
Slovenia,0.888369456,0.795235664,0.702621627
South Africa,0.918913484,0.798920872,0.823198786
South Korea,0.723076269,0.699592723,0.48654878
Spain,0.878456352,0.798151487,0.796475943
Sri Lanka,0.984302204,0.872702672,0.864818196
Eswatini,0.94439399,0.777302792,0.755801885
Sweden,0.927628168,0.843072666,0.698493499
Switzerland,0.7514677,0.766615145,0.52645492
Taiwan,0.876073882,0.75869176,0.566042001
Tajikistan,0.966820874,0.947088031,0.913255618
Tanzania,0.989352855,0.916257279,0.955324856
Thailand,0.971574253,0.936595581,0.92580051
The Gambia,0.927447343,0.872242347,0.875021073
Togo,0.90562539,0.697941064,0.511657054
Tunisia,0.915296218,0.796492927,0.772538258
Turkey,0.934521032,0.867938639,0.817929317
Turkmenistan,0.904669808,0.849819601,0.857297526
Uganda,0.974514224,0.80862516,0.855233669
Ukraine,0.764157292,0.499241528,0.292852939
United Arab Emirates,0.940503738,0.852011469,0.835823372
United Kingdom,0.89008673,0.856527324,0.751519926
United States,0.869345451,0.840638496,0.720909366
Uruguay,0.944681923,0.748942538,0.723945321
Uzbekistan,0.982882346,0.953964489,0.9234589
Venezuela,0.99575851,0.935483011,0.922213424
Vietnam,0.917221282,0.732934696,0.70844433
Yemen,0.933746292,0.814847928,0.842188674
Zambia,0.949379702,0.791962019,0.805447553
Zimbabwe,0.973160044,0.916414799,0.851419434
